season,match_id,tournament_event_id,match_num,date,surface,indoor,round,best_of,winner_id,winner_country_id,winner_seed,winner_entry,winner_rank,winner_rank_points,winner_elo_rating,winner_next_elo_rating,winner_age,winner_height,loser_id,loser_country_id,loser_seed,loser_entry,loser_rank,loser_rank_points,loser_elo_rating,loser_next_elo_rating,loser_age,loser_height,score,outcome,w_sets,l_sets,w_games,l_games,w_tbs,l_tbs,has_stats
2012,152919,3677,1,2012-01-16,H,f,R128,5,4920,SRB,1,,1,13630,2445,2446,24.654346,188,3893,ITA,,,109,521,1732,1731,30.086243,183,6-2 6-0 6-0,,3,0,18,2,0,0,t
2012,152920,3677,2,2012-01-16,H,f,R128,5,5046,COL,,,56,845,1920,1929,24.136892,188,4965,ITA,,Q,153,335,1778,1765,24.528406,,6-4 6-2 6-1,,3,0,18,7,0,0,t
2012,152921,3677,3,2012-01-16,H,f,R128,5,5140,JPN,,WC,117,500,1730,1767,23.663244,180,3808,ITA,,,62,800,1854,1832,30.507872,188,6-3 4-6 6-3 6-4,,3,1,22,16,0,0,t
2012,152922,3677,4,2012-01-16,H,f,R128,5,3917,FRA,,,81,653,1854,1877,29.984941,190,3285,CZE,29,,31,1230,2017,1999,33.136208,185,7-5 7-5 6-3,,3,0,20,13,0,0,t
2012,152923,3677,5,2012-01-16,H,f,R128,5,5670,CAN,23,,25,1460,1981,1987,21.054073,196,3835,ITA,,,72,696,1778,1767,30.362764,183,6-4 6-0 6-2,,3,0,18,6,0,0,t
2012,152924,3677,6,2012-01-16,H,f,R128,5,4331,GER,,,63,780,1935,1941,27.813826,185,4585,CZE,,,69,701,1731,1718,26.480494,196,6-0 6-0 6-2,,3,0,18,2,0,0,t
2012,152925,3677,7,2012-01-16,H,f,R128,5,3720,AUS,,WC,181,265,1988,1994,30.89117,180,5636,GER,,,83,652,1784,1774,21.270363,183,7-5 6-4 3-6 7-5,,3,1,23,20,0,0,t
2012,152926,3677,8,2012-01-16,H,f,R128,5,4053,USA,15,,16,1880,2138,2143,29.379877,188,4894,NED,,,53,861,1901,1895,24.780287,190,6-3 6-4 6-1,,3,0,18,8,0,0,t
2012,152927,3677,9,2012-01-16,H,f,R128,5,4385,SRB,9,,9,2655,2084,2090,27.56742,180,4098,RUS,,,43,988,1893,1886,29.09514,185,5-7 7-6(12) 6-3 6-4,,3,1,23,20,1,0,t
2012,152928,3677,10,2012-01-16,H,f,R128,5,5888,AUS,,WC,250,191,1715,1743,19.986311,183,5125,EST,,Q,148,359,1693,1660,23.800137,190,6-3 6-4 6-4,,3,0,18,11,0,0,t
2012,152929,3677,11,2012-01-16,H,f,R128,5,4974,KAZ,,Q,146,362,1760,1798,24.487337,185,4022,RUS,,,35,1105,2010,1989,29.560575,183,7-5 6-7(4) 6-4 4-6 6-3,,3,2,29,24,0,1,t
2012,152930,3677,12,2012-01-16,H,f,R128,5,4752,FRA,17,,18,1765,2083,2090,25.57974,185,4311,ITA,,,40,1015,1938,1930,27.901438,190,6-3 3-6 6-3 6-1,,3,1,21,13,0,0,t
2012,152931,3677,13,2012-01-16,H,f,R128,5,3428,ARG,27,,29,1270,1889,1901,32.38056,190,3188,USA,,,97,578,1815,1801,33.711155,173,7-6(3) 6-3 6-4,,3,0,18,13,1,0,t
2012,152932,3677,14,2012-01-16,H,f,R128,5,4664,ESP,,,45,920,1809,1828,25.979465,180,3857,RUS,,,74,692,1810,1791,30.29432,180,6-1 7-6(12) 6-0,,3,0,18,7,1,0,t
2012,152933,3677,15,2012-01-16,H,f,R128,5,4971,USA,,,68,716,1804,1819,24.509241,196,4893,GER,,,89,611,1711,1688,24.791239,188,6-4 6-4 6-2,,3,0,18,10,0,0,t
2012,152934,3677,16,2012-01-16,H,f,R128,5,3970,ESP,5,,5,4925,2241,2242,29.790554,175,4348,POR,,,70,698,1675,1672,27.767282,178,6-1 6-4 6-2,,3,0,18,7,0,0,t
2012,152935,3677,17,2012-01-16,H,f,R128,5,4913,GBR,4,,4,7380,2349,2350,24.673512,190,5978,USA,,,77,666,1844,1842,19.693361,183,4-6 6-3 6-4 6-2,,3,1,22,15,0,0,t
2012,152936,3677,18,2012-01-16,H,f,R128,5,4273,FRA,,,101,562,1735,1773,28.134155,188,3598,BEL,,,64,760,1887,1865,31.493498,185,7-6(6) RET,RET,1,0,6,6,1,0,t
2012,152937,3677,19,2012-01-16,H,f,R128,5,3566,FRA,,,46,915,1929,1943,31.663244,190,5201,LAT,,,73,695,1922,1908,23.378508,190,2-6 6-1 6-2 6-2,,3,1,20,11,0,0,t
2012,152938,3677,20,2012-01-16,H,f,R128,5,4166,RUS,32,,34,1135,1938,1946,28.733744,178,4592,ESP,,,104,547,1784,1772,26.442163,185,6-3 6-2 6-4,,3,0,18,9,0,0,t
2012,152939,3677,21,2012-01-16,H,f,R128,5,4677,SRB,19,,23,1595,1995,2009,25.930185,193,3507,ESP,,,48,910,2028,2014,31.926079,183,4-6 6-7(3) 6-2 7-6(3) 6-2,,3,2,28,22,1,1,t
