match_id,set,w_games,l_games,w_tb_pt,l_tb_pt,w_tbs,l_tbs
152919,1,6,2,,,,
152919,2,6,0,,,,
152919,3,6,0,,,,
152920,1,6,4,,,,
152920,2,6,2,,,,
152920,3,6,1,,,,
152921,1,6,3,,,,
152921,2,4,6,,,,
152921,3,6,3,,,,
152921,4,6,4,,,,
152922,1,7,5,,,,
152922,2,7,5,,,,
152922,3,6,3,,,,
152923,1,6,4,,,,
152923,2,6,0,,,,
152923,3,6,2,,,,
152924,1,6,0,,,,
152924,2,6,0,,,,
152924,3,6,2,,,,
152925,1,7,5,,,,
152925,2,6,4,,,,
152925,3,3,6,,,,
152925,4,7,5,,,,
152926,1,6,3,,,,
152926,2,6,4,,,,
152926,3,6,1,,,,
152927,1,5,7,,,,
152927,2,7,6,14,12,1,
152927,3,6,3,,,,
152927,4,6,4,,,,
152928,1,6,3,,,,
152928,2,6,4,,,,
152928,3,6,4,,,,
152929,1,7,5,,,,
152929,2,6,7,4,7,,1
152929,3,6,4,,,,
152929,4,4,6,,,,
152929,5,6,3,,,,
152930,1,6,3,,,,
152930,2,3,6,,,,
152930,3,6,3,,,,
152930,4,6,1,,,,
152931,1,7,6,7,3,1,
152931,2,6,3,,,,
152931,3,6,4,,,,
152932,1,6,1,,,,
152932,2,7,6,14,12,1,
152932,3,6,0,,,,
152933,1,6,4,,,,
152933,2,6,4,,,,
152933,3,6,2,,,,
152934,1,6,1,,,,
152934,2,6,4,,,,
152934,3,6,2,,,,
152935,1,4,6,,,,
152935,2,6,3,,,,
152935,3,6,4,,,,
152935,4,6,2,,,,
152936,1,7,6,8,6,1,
152937,1,2,6,,,,
152937,2,6,1,,,,
152937,3,6,2,,,,
152937,4,6,2,,,,
152938,1,6,3,,,,
152938,2,6,2,,,,
152938,3,6,4,,,,
152939,1,4,6,,,,
152939,2,6,7,3,7,,1
152939,3,6,2,,,,
152939,4,7,6,7,3,1,
152939,5,6,2,,,,
152940,1,6,4,,,,
152940,2,6,3,,,,
152940,3,6,0,,,,
152941,1,7,6,7,5,1,
152941,2,6,4,,,,
152941,3,6,3,,,,
152942,1,7,6,7,5,1,
152942,2,6,3,,,,
152942,3,6,3,,,,
152943,1,6,1,,,,
152943,2,3,6,,,,
152943,3,6,7,5,7,,1
152943,4,6,3,,,,
152943,5,6,2,,,,
152944,1,6,4,,,,
152944,2,6,2,,,,
152944,3,7,5,,,,
152945,1,6,3,,,,
152945,2,7,6,7,1,1,
152945,3,6,2,,,,
152946,1,6,1,,,,
152946,2,7,6,9,7,1,
152946,3,6,0,,,,
152947,1,6,0,,,,
152947,2,7,6,7,4,1,
152947,3,5,7,,,,
152947,4,5,7,,,,
152947,5,6,3,,,,
152948,1,2,6,,,,
152948,2,6,1,,,,
152948,3,6,1,,,,
152948,4,4,1,,,,
152949,1,6,4,,,,
152949,2,6,4,,,,
152949,3,7,5,,,,
152950,1,6,4,,,,
152950,2,3,6,,,,
152950,3,6,2,,,,
152950,4,7,5,,,,
152951,1,6,4,,,,
152951,2,6,4,,,,
152951,3,6,2,,,,
152952,1,6,3,,,,
152952,2,6,2,,,,
152952,3,3,6,,,,
152952,4,6,1,,,,
152953,1,7,6,7,2,1,
152953,2,2,6,,,,
152953,3,6,4,,,,
152953,4,7,6,7,5,1,
152954,1,7,5,,,,
152954,2,4,6,,,,
152954,3,6,3,,,,
152954,4,6,7,4,7,,1
152954,5,6,0,,,,
152955,1,6,4,,,,
152955,2,3,6,,,,
152955,3,6,1,,,,
152955,4,3,6,,,,
152955,5,6,3,,,,
152956,1,6,7,3,7,,1
152956,2,3,6,,,,
152956,3,5,4,,,,
152957,1,6,4,,,,
152957,2,6,3,,,,
152957,3,6,4,,,,
152958,1,2,6,,,,
152958,2,6,1,,,,
152958,3,7,5,,,,
152958,4,6,4,,,,
152959,1,1,6,,,,
152959,2,4,6,,,,
152959,3,6,1,,,,
152959,4,6,1,,,,
152959,5,6,2,,,,
152960,1,6,2,,,,
152960,2,6,1,,,,
152960,3,6,2,,,,
152961,1,6,3,,,,
152961,2,6,2,,,,
152961,3,6,2,,,,
152962,1,4,6,,,,
152962,2,6,7,3,7,,1
152962,3,6,4,,,,
152962,4,6,2,,,,
152962,5,7,5,,,,
152963,1,7,6,7,3,1,
152963,2,7,5,,,,
152963,3,6,3,,,,
152964,1,2,6,,,,
152964,2,6,3,,,,
152964,3,7,6,7,3,1,
152964,4,6,3,,,,
152965,1,6,4,,,,
152965,2,6,2,,,,
152965,3,4,6,,,,
152965,4,7,5,,,,
152966,1,7,5,,,,
152966,2,6,2,,,,
152966,3,6,2,,,,
152967,1,7,5,,,,
152967,2,4,6,,,,
152967,3,6,2,,,,
152967,4,6,3,,,,
152968,1,6,1,,,,
152968,2,6,4,,,,
152968,3,6,0,,,,
152969,1,6,3,,,,
152969,2,6,7,9,11,,1
152969,3,4,6,,,,
152969,4,6,3,,,,
152969,5,7,5,,,,
152970,1,6,1,,,,
152970,2,6,2,,,,
152970,3,6,4,,,,
152971,1,6,1,,,,
152971,2,6,1,,,,
152971,3,7,5,,,,
152972,1,6,1,,,,
152972,2,7,6,7,5,1,
152972,3,6,2,,,,
152973,1,4,6,,,,
152973,2,6,3,,,,
152973,3,3,6,,,,
